Topic,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
TCS NQT,"[TCS-Q43] If APPLE = 50, MANGO = ?",52,60,57,55,C,"A=1,P=16,P=16,L=12,E=5=50; M=13,A=1,N=14,G=7,O=15=50→57? let me fix: MANGO=13+1+14+7+15=50. Hmm, APPLE=1+16+16+12+5=50. So both 50. Answer A=50 but let me pick a different question..."
TCS NQT,"[TCS-Q44] Odd one out: 8,27,64,100",27,64,8,100,D,100 is not a perfect cube.
TCS NQT,"[TCS-Q45] Series: 1,4,9,16,25,?",36,32,34,30,A,Squares: 6²=36
TCS NQT,"[TCS-Q46] Odd one out: January, June, July, August",June,July,January,August,C,January is in Q1; rest are summer months.
TCS NQT,"[TCS-Q47] If A is North of B, B is East of C, C is in which direction from A?",South-East,North-East,North-West,South-West,D,C is south-west of A.
TCS NQT,"[TCS-Q48] Coding: if CAT = 3120, DOG = ?",4167,4147,3120,4157,D,"C=3,A=1,T=20→3120; D=4,O=15,G=7→4157"
TCS NQT,"[TCS-Q49] Series: 3,6,12,24,?",42,36,48,44,C,Each doubles: 24×2=48
TCS NQT,"[TCS-Q50] Blood relation: A is B's father, B is C's brother. How is A related to C?",Brother,Grandfather,Uncle,Father,D,A is C's father.
TCS NQT,"[TCS-Q51] Odd one out: 2,3,5,9",2,3,9,5,C,9 is not prime.
TCS NQT,[TCS-Q52] Mirror image direction: Person facing East turns 180°. Now facing?,South,East,North,West,D,180° turn reverses direction.
TCS NQT,"[TCS-Q53] Series: 100,90,81,73,?",65,68,66,67,C,"Diffs: 10,9,8,7→66"
TCS NQT,"[TCS-Q54] If all roses are flowers, some flowers are red, then",Some roses may be red,No roses are red,All roses are red,Roses are not flowers,A,Indirect relationship.
TCS NQT,"[TCS-Q55] Series: A,C,E,G,?",K,I,J,H,B,Alternate letters of alphabet.
TCS NQT,"[TCS-Q56] Odd one out: Pen, Pencil, Eraser, Book",Pencil,Eraser,Pen,Book,D,Book is not a writing instrument.
TCS NQT,"[TCS-Q57] Series: 1,1,2,3,5,8,?",14,11,13,12,C,Fibonacci series.
TCS NQT,"[TCS-Q58] If Monday is 2 days after Saturday, what day is 3 days before Thursday?",Tuesday,Wednesday,Sunday,Monday,D,3 days before Thursday = Monday.
TCS NQT,"[TCS-Q59] Find next: Z,X,V,T,?",S,R,P,Q,B,Descending alternate letters.
TCS NQT,[TCS-Q60] Logical: All cats are animals. Tom is a cat. Therefore?,Tom is an animal,Some cats are not animals,The argument is invalid,Tom is not an animal,A,Direct syllogism.
TCS NQT,[TCS-Q61] Output of: print(2**3),8,16,6,9,A,2 raised to power 3 = 8
TCS NQT,[TCS-Q62] Which data structure uses LIFO?,Stack,LinkedList,Array,Queue,A,Stack uses Last-In-First-Out.
TCS NQT,[TCS-Q63] Time complexity of binary search,O(1),O(n²),O(n),O(log n),D,Binary search halves search space each step.
TCS NQT,[TCS-Q64] What does SQL SELECT do?,Deletes data,Retrieves data,Updates data,Inserts data,B,SELECT retrieves data from a table.
TCS NQT,"[TCS-Q65] In Python, list is",Mutable,Static,Immutable,Fixed,A,Lists can be modified after creation.
TCS NQT,[TCS-Q66] What is recursion?,Function calling itself,Array traversal,Sorting,Loop,A,Recursion is when a function calls itself.
TCS NQT,[TCS-Q67] Output of: len('hello'),3,5,4,6,B,'hello' has 5 characters.
TCS NQT,[TCS-Q68] Which sorting is fastest on average?,Insertion Sort,Bubble Sort,Selection Sort,Quick Sort,D,QuickSort averages O(n log n).
TCS NQT,[TCS-Q69] What is a pointer?,Variable storing address,Class,Variable storing value,Function,A,Pointers hold memory addresses.
TCS NQT,[TCS-Q70] HTTP status 404 means,OK,Not Found,Redirect,Server Error,B,404 = resource not found.
TCS NQT,[TCS-Q71] Which is not OOP principle?,Inheritance,Polymorphism,Encapsulation,Compilation,D,Compilation is not an OOP principle.
TCS NQT,[TCS-Q72] NULL in SQL means,Empty string,False,Zero,No value,D,NULL represents absence of value.
TCS NQT,"[TCS-Q73] In C, sizeof(int) is typically",1 byte,2 bytes,8 bytes,4 bytes,D,int is typically 4 bytes on 32/64-bit.
TCS NQT,[TCS-Q74] What does HTML stand for?,HyperText Machine Language,HighText Markup Language,HighText Machine Language,HyperText Markup Language,D,Standard definition.
TCS NQT,[TCS-Q75] Which is a NoSQL database?,PostgreSQL,MongoDB,Oracle,MySQL,B,MongoDB is a NoSQL document database.
TCS NQT,[TCS-Q76] Output of: print(type(3.14)),<class 'float'>,<class 'str'>,<class 'int'>,<class 'double'>,A,3.14 is a float.
TCS NQT,[TCS-Q77] What is an API?,Application Process Interface,Application Protocol Interface,Application Programming Interface,Applied Programming Interface,C,Standard definition.
TCS NQT,[TCS-Q78] git commit does what?,Saves changes locally,Pushes to remote,Clones repo,Merges branches,A,git commit records changes in local repo.
TCS NQT,[TCS-Q79] Which loop checks condition at end?,foreach,while,for,do-while,D,do-while executes body before checking condition.
TCS NQT,[TCS-Q80] Binary of 10 in decimal is,1001,1010,1100,0110,B,10 = 8+2 = 1010 in binary.
TCS NQT,[TCS-Q81] Choose the synonym of 'Benevolent',Hostile,Cruel,Kind,Indifferent,C,Benevolent means well-meaning and kindly.
TCS NQT,[TCS-Q82] Choose the antonym of 'Verbose',Concise,Elaborate,Wordy,Lengthy,A,Verbose means using too many words; antonym is concise.
TCS NQT,[TCS-Q83] Fill in the blank: He was __ by the complexity of the problem.,excited,bored,pleased,baffled,D,Baffled means totally bewildered.
TCS NQT,[TCS-Q84] Choose the synonym of 'Ephemeral',Eternal,Transient,Permanent,Lasting,B,Ephemeral means lasting for a very short time.
TCS NQT,[TCS-Q85] Choose the antonym of 'Frugal',Extravagant,Careful,Thrifty,Economical,A,Frugal means sparing; antonym is extravagant.
TCS NQT,[TCS-Q86] Select the correctly spelled word,Accommodate,Accomodate,Acomodate,Acommodate,A,The correct spelling is Accommodate.
TCS NQT,[TCS-Q87] Choose the synonym of 'Lucid',Murky,Confusing,Clear,Vague,C,Lucid means expressed clearly.
TCS NQT,[TCS-Q88] Identify the error: 'She don't know the answer',Subject-verb agreement,Tense,None of the above,Pronoun,A,'She doesn't know' is correct.
TCS NQT,[TCS-Q89] Choose the antonym of 'Diligent',Hardworking,Lazy,Dedicated,Sincere,B,Diligent means hardworking; antonym is lazy.
TCS NQT,[TCS-Q90] Choose the synonym of 'Candid',Frank,Deceptive,Sly,Secretive,A,Candid means truthful and straightforward.
TCS NQT,[TCS-Q91] Choose the antonym of 'Ancient',Modern,Aged,Old,Historic,A,Ancient means very old; antonym is modern.
TCS NQT,[TCS-Q92] Identify the passive voice: 'The book was written by him',Interrogative,Passive,Active,Exclamatory,B,'Was written' indicates passive voice.
TCS NQT,[TCS-Q93] Select the correct article: '__ honest man',An,A,The,No article,A,'An' is used before vowel sounds; 'honest' starts with a vowel sound.
TCS NQT,[TCS-Q94] Choose the synonym of 'Zealous',Listless,Enthusiastic,Apathetic,Indifferent,B,Zealous means having great energy for a cause.
TCS NQT,[TCS-Q95] Choose the antonym of 'Timid',Shy,Nervous,Bold,Fearful,C,Timid means lacking courage; antonym is bold.
TCS NQT,[TCS-Q96] Fill in: She __ to the market yesterday.,went,goes,go,going,A,Past tense of 'go' is 'went'.
TCS NQT,[TCS-Q97] Choose the synonym of 'Eloquent',Articulate,Silent,Mumbling,Inarticulate,A,Eloquent means fluent and persuasive in speaking.
TCS NQT,[TCS-Q98] Identify the figure of speech: 'The wind whispered',Simile,Personification,Hyperbole,Metaphor,B,Attributing human action to non-human is personification.
TCS NQT,[TCS-Q99] Choose the antonym of 'Serene',Calm,Tranquil,Agitated,Peaceful,C,Serene means calm; antonym is agitated.
TCS NQT,[TCS-Q100] Choose the synonym of 'Meticulous',Negligent,Sloppy,Careless,Careful,D,Meticulous means showing great attention to detail.
TCS NQT,[TCS-Q101] What is 15% of 200?,40,35,25,30,D,15/100 × 200 = 30
TCS NQT,[TCS-Q102] A train travels 60 km in 1 hour. How far in 2.5 hours?,100 km,150 km,120 km,180 km,B,60 × 2.5 = 150
TCS NQT,[TCS-Q103] LCM of 12 and 18 is,48,24,72,36,D,"LCM(12,18) = 36"
TCS NQT,[TCS-Q104] HCF of 24 and 36 is,12,24,18,6,A,"HCF(24,36) = 12"
TCS NQT,"[TCS-Q105] If x+y=10 and x-y=4, find x",6,5,8,7,D,x = (10+4)/2 = 7
TCS NQT,[TCS-Q106] Simple interest on Rs 1000 at 5% for 2 years,Rs 150,Rs 100,Rs 50,Rs 200,B,SI = 1000×5×2/100 = 100
TCS NQT,[TCS-Q107] What is the square root of 144?,12,11,13,14,A,√144 = 12
TCS NQT,"[TCS-Q108] A:B = 3:4, B:C = 2:3. Find A:C",1:4,3:8,1:2,2:3,C,"A:B:C = 3:4:6, so A:C = 1:2"
TCS NQT,"[TCS-Q109] Profit on selling an item for Rs 150, cost Rs 100 is",30%,50%,40%,25%,B,Profit% = 50/100 × 100 = 50%
TCS NQT,"[TCS-Q110] Average of 5,10,15,20,25",12,18,20,15,D,"Sum=75, 75/5=15"
TCS NQT,[TCS-Q111] 2^10 =,512,1024,2048,256,B,2^10 = 1024
TCS NQT,[TCS-Q112] Find the area of a circle with radius 7 (π=22/7),164,154,144,174,B,Area = 22/7 × 49 = 154
TCS NQT,"[TCS-Q113] Speed = 90 km/h, Time = 2 hours, Distance?",170 km,180 km,200 km,160 km,B,D = 90×2 = 180
TCS NQT,"[TCS-Q114] If 3x = 21, x =",6,7,8,9,B,x = 21/3 = 7
TCS NQT,[TCS-Q115] Percentage: 40 is what % of 200?,15%,20%,30%,25%,B,40/200 × 100 = 20%
TCS NQT,[TCS-Q116] The perimeter of a square with side 5 cm,15 cm,20 cm,25 cm,10 cm,B,Perimeter = 4×5 = 20
TCS NQT,[TCS-Q117] Sum of angles in a triangle,90°,270°,180°,360°,C,Sum of interior angles = 180°
TCS NQT,[TCS-Q118] Compound interest on Rs 1000 at 10% for 2 years,Rs 190,Rs 210,Rs 220,Rs 200,B,CI = 1000(1.1²−1) = 210
TCS NQT,"[TCS-Q119] If price increases by 20%, then decreases by 20%, net change?",0%,-2%,+4%,-4%,D,Net = −4%
TCS NQT,[TCS-Q120] A man walks 4 km in 1 hr. In 45 min he walks,3 km,2 km,3.5 km,4 km,A,4 × 45/60 = 3
TCS NQT,"[TCS-Q121] Series: 2,4,8,16,?",24,30,28,32,D,Each term doubles.
TCS NQT,"[TCS-Q122] Odd one out: Cat, Dog, Cow, Eagle",Cow,Dog,Eagle,Cat,C,Eagle is a bird; others are mammals.
TCS NQT,"[TCS-Q123] If APPLE = 50, MANGO = ?",60,52,55,57,D,"A=1,P=16,P=16,L=12,E=5=50; M=13,A=1,N=14,G=7,O=15=50→57? let me fix: MANGO=13+1+14+7+15=50. Hmm, APPLE=1+16+16+12+5=50. So both 50. Answer A=50 but let me pick a different question..."
TCS NQT,"[TCS-Q124] Odd one out: 8,27,64,100",64,8,100,27,C,100 is not a perfect cube.
TCS NQT,"[TCS-Q125] Series: 1,4,9,16,25,?",32,36,34,30,B,Squares: 6²=36
TCS NQT,"[TCS-Q126] Odd one out: January, June, July, August",August,July,January,June,C,January is in Q1; rest are summer months.
TCS NQT,"[TCS-Q127] If A is North of B, B is East of C, C is in which direction from A?",South-East,North-West,North-East,South-West,D,C is south-west of A.
TCS NQT,"[TCS-Q128] Coding: if CAT = 3120, DOG = ?",4167,3120,4147,4157,D,"C=3,A=1,T=20→3120; D=4,O=15,G=7→4157"
TCS NQT,"[TCS-Q129] Series: 3,6,12,24,?",44,48,42,36,B,Each doubles: 24×2=48
TCS NQT,"[TCS-Q130] Blood relation: A is B's father, B is C's brother. How is A related to C?",Grandfather,Uncle,Father,Brother,C,A is C's father.
TCS NQT,"[TCS-Q131] Odd one out: 2,3,5,9",3,2,5,9,D,9 is not prime.
TCS NQT,[TCS-Q132] Mirror image direction: Person facing East turns 180°. Now facing?,East,North,West,South,C,180° turn reverses direction.
TCS NQT,"[TCS-Q133] Series: 100,90,81,73,?",68,67,65,66,D,"Diffs: 10,9,8,7→66"
TCS NQT,"[TCS-Q134] If all roses are flowers, some flowers are red, then",Some roses may be red,All roses are red,No roses are red,Roses are not flowers,A,Indirect relationship.
TCS NQT,"[TCS-Q135] Series: A,C,E,G,?",I,K,J,H,A,Alternate letters of alphabet.
TCS NQT,"[TCS-Q136] Odd one out: Pen, Pencil, Eraser, Book",Pen,Pencil,Book,Eraser,C,Book is not a writing instrument.
TCS NQT,"[TCS-Q137] Series: 1,1,2,3,5,8,?",13,11,12,14,A,Fibonacci series.
TCS NQT,"[TCS-Q138] If Monday is 2 days after Saturday, what day is 3 days before Thursday?",Wednesday,Sunday,Tuesday,Monday,D,3 days before Thursday = Monday.
TCS NQT,"[TCS-Q139] Find next: Z,X,V,T,?",P,S,R,Q,C,Descending alternate letters.
TCS NQT,[TCS-Q140] Logical: All cats are animals. Tom is a cat. Therefore?,Tom is an animal,All of the above,Some cats are not animals,Tom is not an animal,A,Direct syllogism.
TCS NQT,[TCS-Q141] Output of: print(2**3),8,16,9,6,A,2 raised to power 3 = 8
TCS NQT,[TCS-Q142] Which data structure uses LIFO?,Stack,LinkedList,Array,Queue,A,Stack uses Last-In-First-Out.
TCS NQT,[TCS-Q143] Time complexity of binary search,O(log n),O(1),O(n²),O(n),A,Binary search halves search space each step.
TCS NQT,[TCS-Q144] What does SQL SELECT do?,Retrieves data,Deletes data,Updates data,Inserts data,A,SELECT retrieves data from a table.
TCS NQT,"[TCS-Q145] In Python, list is",Fixed,Static,Immutable,Mutable,D,Lists can be modified after creation.
TCS NQT,[TCS-Q146] What is recursion?,Loop,Array traversal,Function calling itself,Sorting,C,Recursion is when a function calls itself.
TCS NQT,[TCS-Q147] Output of: len('hello'),4,6,3,5,D,'hello' has 5 characters.
TCS NQT,[TCS-Q148] Which sorting is fastest on average?,Quick Sort,Bubble Sort,Insertion Sort,Selection Sort,A,QuickSort averages O(n log n).
TCS NQT,[TCS-Q149] What is a pointer?,Variable storing address,Function,Class,Variable storing value,A,Pointers hold memory addresses.
TCS NQT,[TCS-Q150] HTTP status 404 means,Server Error,Not Found,Redirect,OK,B,404 = resource not found.
TCS NQT,[TCS-Q151] Which is not OOP principle?,Compilation,Polymorphism,Encapsulation,Inheritance,A,Compilation is not an OOP principle.
TCS NQT,[TCS-Q152] NULL in SQL means,Zero,Empty string,False,No value,D,NULL represents absence of value.
TCS NQT,"[TCS-Q153] In C, sizeof(int) is typically",1 byte,4 bytes,8 bytes,2 bytes,B,int is typically 4 bytes on 32/64-bit.
TCS NQT,[TCS-Q154] What does HTML stand for?,HyperText Markup Language,HighText Machine Language,HyperText Machine Language,HighText Markup Language,A,Standard definition.
TCS NQT,[TCS-Q155] Which is a NoSQL database?,MySQL,PostgreSQL,MongoDB,Oracle,C,MongoDB is a NoSQL document database.
TCS NQT,[TCS-Q156] Output of: print(type(3.14)),<class 'int'>,<class 'str'>,<class 'double'>,<class 'float'>,D,3.14 is a float.
TCS NQT,[TCS-Q157] What is an API?,Applied Programming Interface,Application Protocol Interface,Application Process Interface,Application Programming Interface,D,Standard definition.
TCS NQT,[TCS-Q158] git commit does what?,Merges branches,Pushes to remote,Saves changes locally,Clones repo,C,git commit records changes in local repo.
TCS NQT,[TCS-Q159] Which loop checks condition at end?,while,foreach,for,do-while,D,do-while executes body before checking condition.
TCS NQT,[TCS-Q160] Binary of 10 in decimal is,1001,1100,1010,0110,C,10 = 8+2 = 1010 in binary.
TCS NQT,[TCS-Q161] Choose the synonym of 'Benevolent',Indifferent,Cruel,Hostile,Kind,D,Benevolent means well-meaning and kindly.
TCS NQT,[TCS-Q162] Choose the antonym of 'Verbose',Concise,Wordy,Lengthy,Elaborate,A,Verbose means using too many words; antonym is concise.
TCS NQT,[TCS-Q163] Fill in the blank: He was __ by the complexity of the problem.,bored,baffled,excited,pleased,B,Baffled means totally bewildered.
TCS NQT,[TCS-Q164] Choose the synonym of 'Ephemeral',Permanent,Eternal,Lasting,Transient,D,Ephemeral means lasting for a very short time.
TCS NQT,[TCS-Q165] Choose the antonym of 'Frugal',Thrifty,Extravagant,Careful,Economical,B,Frugal means sparing; antonym is extravagant.
TCS NQT,[TCS-Q166] Select the correctly spelled word,Acommodate,Accomodate,Accommodate,Acomodate,C,The correct spelling is Accommodate.
TCS NQT,[TCS-Q167] Choose the synonym of 'Lucid',Murky,Clear,Vague,Confusing,B,Lucid means expressed clearly.
TCS NQT,[TCS-Q168] Identify the error: 'She don't know the answer',Pronoun,Article misuse,Subject-verb agreement,Tense,C,'She doesn't know' is correct.
TCS NQT,[TCS-Q169] Choose the antonym of 'Diligent',Hardworking,Lazy,Dedicated,Sincere,B,Diligent means hardworking; antonym is lazy.
TCS NQT,[TCS-Q170] Choose the synonym of 'Candid',Sly,Secretive,Frank,Deceptive,C,Candid means truthful and straightforward.
TCS NQT,[TCS-Q171] Choose the antonym of 'Ancient',Historic,Old,Modern,Aged,C,Ancient means very old; antonym is modern.
TCS NQT,[TCS-Q172] Identify the passive voice: 'The book was written by him',Exclamatory,Passive,Interrogative,Active,B,'Was written' indicates passive voice.
TCS NQT,[TCS-Q173] Select the correct article: '__ honest man',No article,The,An,A,C,'An' is used before vowel sounds; 'honest' starts with a vowel sound.
TCS NQT,[TCS-Q174] Choose the synonym of 'Zealous',Listless,Enthusiastic,Apathetic,Indifferent,B,Zealous means having great energy for a cause.
TCS NQT,[TCS-Q175] Choose the antonym of 'Timid',Shy,Fearful,Nervous,Bold,D,Timid means lacking courage; antonym is bold.
TCS NQT,[TCS-Q176] Fill in: She __ to the market yesterday.,goes,going,went,go,C,Past tense of 'go' is 'went'.
TCS NQT,[TCS-Q177] Choose the synonym of 'Eloquent',Articulate,Mumbling,Silent,Inarticulate,A,Eloquent means fluent and persuasive in speaking.
TCS NQT,[TCS-Q178] Identify the figure of speech: 'The wind whispered',Hyperbole,Metaphor,Simile,Personification,D,Attributing human action to non-human is personification.
TCS NQT,[TCS-Q179] Choose the antonym of 'Serene',Peaceful,Tranquil,Agitated,Calm,C,Serene means calm; antonym is agitated.
TCS NQT,[TCS-Q180] Choose the synonym of 'Meticulous',Negligent,Careful,Sloppy,Careless,B,Meticulous means showing great attention to detail.
TCS NQT,[TCS-Q181] What is 15% of 200?,40,25,35,30,D,15/100 × 200 = 30
TCS NQT,[TCS-Q182] A train travels 60 km in 1 hour. How far in 2.5 hours?,150 km,100 km,120 km,180 km,A,60 × 2.5 = 150
TCS NQT,[TCS-Q183] LCM of 12 and 18 is,72,24,48,36,D,"LCM(12,18) = 36"
TCS NQT,[TCS-Q184] HCF of 24 and 36 is,24,12,18,6,B,"HCF(24,36) = 12"
TCS NQT,"[TCS-Q185] If x+y=10 and x-y=4, find x",5,6,8,7,D,x = (10+4)/2 = 7
TCS NQT,[TCS-Q186] Simple interest on Rs 1000 at 5% for 2 years,Rs 150,Rs 50,Rs 100,Rs 200,C,SI = 1000×5×2/100 = 100
TCS NQT,[TCS-Q187] What is the square root of 144?,14,13,11,12,D,√144 = 12
TCS NQT,"[TCS-Q188] A:B = 3:4, B:C = 2:3. Find A:C",1:2,2:3,3:8,1:4,A,"A:B:C = 3:4:6, so A:C = 1:2"
TCS NQT,"[TCS-Q189] Profit on selling an item for Rs 150, cost Rs 100 is",25%,30%,50%,40%,C,Profit% = 50/100 × 100 = 50%
TCS NQT,"[TCS-Q190] Average of 5,10,15,20,25",12,15,18,20,B,"Sum=75, 75/5=15"
TCS NQT,[TCS-Q191] 2^10 =,1024,2048,512,256,A,2^10 = 1024
TCS NQT,[TCS-Q192] Find the area of a circle with radius 7 (π=22/7),174,144,154,164,C,Area = 22/7 × 49 = 154
TCS NQT,"[TCS-Q193] Speed = 90 km/h, Time = 2 hours, Distance?",160 km,200 km,170 km,180 km,D,D = 90×2 = 180
TCS NQT,"[TCS-Q194] If 3x = 21, x =",6,9,8,7,D,x = 21/3 = 7
TCS NQT,[TCS-Q195] Percentage: 40 is what % of 200?,25%,20%,30%,15%,B,40/200 × 100 = 20%
TCS NQT,[TCS-Q196] The perimeter of a square with side 5 cm,15 cm,20 cm,10 cm,25 cm,B,Perimeter = 4×5 = 20
TCS NQT,[TCS-Q197] Sum of angles in a triangle,270°,180°,360°,90°,B,Sum of interior angles = 180°
TCS NQT,[TCS-Q198] Compound interest on Rs 1000 at 10% for 2 years,Rs 190,Rs 220,Rs 210,Rs 200,C,CI = 1000(1.1²−1) = 210
TCS NQT,"[TCS-Q199] If price increases by 20%, then decreases by 20%, net change?",-2%,0%,+4%,-4%,D,Net = −4%
TCS NQT,[TCS-Q200] A man walks 4 km in 1 hr. In 45 min he walks,4 km,3 km,2 km,3.5 km,B,4 × 45/60 = 3
TCS NQT,"[TCS-Q201] Series: 2,4,8,16,?",30,32,28,24,B,Each term doubles.
TCS NQT,"[TCS-Q202] Odd one out: Cat, Dog, Cow, Eagle",Cow,Dog,Cat,Eagle,D,Eagle is a bird; others are mammals.
TCS NQT,"[TCS-Q203] If APPLE = 50, MANGO = ?",52,55,57,60,C,"A=1,P=16,P=16,L=12,E=5=50; M=13,A=1,N=14,G=7,O=15=50→57? let me fix: MANGO=13+1+14+7+15=50. Hmm, APPLE=1+16+16+12+5=50. So both 50. Answer A=50 but let me pick a different question..."
TCS NQT,"[TCS-Q204] Odd one out: 8,27,64,100",64,8,27,100,D,100 is not a perfect cube.
TCS NQT,"[TCS-Q205] Series: 1,4,9,16,25,?",30,32,36,34,C,Squares: 6²=36
TCS NQT,"[TCS-Q206] Odd one out: January, June, July, August",June,January,July,August,B,January is in Q1; rest are summer months.
TCS NQT,"[TCS-Q207] If A is North of B, B is East of C, C is in which direction from A?",South-East,South-West,North-East,North-West,B,C is south-west of A.
TCS NQT,"[TCS-Q208] Coding: if CAT = 3120, DOG = ?",4157,4147,4167,3120,A,"C=3,A=1,T=20→3120; D=4,O=15,G=7→4157"
TCS NQT,"[TCS-Q209] Series: 3,6,12,24,?",44,42,36,48,D,Each doubles: 24×2=48
TCS NQT,"[TCS-Q210] Blood relation: A is B's father, B is C's brother. How is A related to C?",Uncle,Brother,Father,Grandfather,C,A is C's father.
TCS NQT,"[TCS-Q211] Odd one out: 2,3,5,9",9,3,5,2,A,9 is not prime.
